filename,category,organism,cfu,label,donor_id,experiment_date,timepoint_hours,n_wl,wl_min,wl_max,abs_min,abs_max,abs_mean
20230214_PBSspiked_LZD8P6_D6_60%_2,sterile,PBS control,0,0.0,Unknown,20230214,,419,237.4571838,300.1626587,-0.4228780902740661,0.9541276159592672,-8.563820562263738e-16
20230217_PBSspiked_LZD10P6_D4_40%_3,sterile,PBS control,0,0.0,Unknown,20230217,,419,237.4504242,300.1421814,-0.4388630446864766,1.0120076677135232,-9.157352680440433e-16
20230214_PBSspiked_LZD8P6_D7_70%,sterile,PBS control,0,0.0,Unknown,20230214,,419,237.4571838,300.1626587,-0.4161424911660298,0.92905293643397,3.6459830116568384e-16
20230213_PBSspiked_LZD8P4_D6_70%_2,sterile,PBS control,0,0.0,Unknown,20230213,,419,237.4573364,300.1625671,-0.4200641768813048,0.9408018529520286,-6.783224207733654e-17
20230214_PBSspiked_LZD8P6_D7_70%_2,sterile,PBS control,0,0.0,Unknown,20230214,,419,237.4571838,300.1626587,-0.4153481828282418,0.9346847871384252,4.663466642816887e-17
20230321_PBSspiked_LZD7P4_D7_90%_3,sterile,PBS control,0,0.0,Unknown,20230321,,419,237.4410706,300.1396484,-0.425378782186635,0.9502791736800316,-2.162152716215102e-16
20230417_PBSspiked_LZD1P6_D5_60%,sterile,PBS control,0,0.0,D5,20230417,,419,237.4287262,300.1347351,-0.4314697427768494,0.9842980063231506,2.162152716215102e-16
20230213_PBSspiked_LZD8P2_D4_30%_2,sterile,PBS control,0,0.0,Unknown,20230213,,419,237.4573364,300.1625671,-0.4331566274931584,0.972343272940175,-7.207175720717007e-17
20230209_PBSspiked_LZD6P2_D7_90%_1,sterile,PBS control,0,0.0,Unknown,20230209,,419,237.4351044,300.1477051,-0.3715931880011134,0.8448622863655528,3.0100557421818085e-16
20230215_PBSspiked_LZD9P4_D3_30%_2,sterile,PBS control,0,0.0,Unknown,20230215,,419,237.4571838,300.1626587,-0.4292284919964198,0.9627771799369136,2.5649066535492877e-16
20230221_PBSspiked_LZD1P2_D5_50%_2,sterile,PBS control,0,0.0,D5,20230221,,419,237.4582214,300.163208,-0.4325775091131271,0.9748279965868728,-5.341789063590252e-16
20230209_PBSspiked_LZD6P2_D6_70%_3,sterile,PBS control,0,0.0,Unknown,20230209,,419,237.4351044,300.1477051,-0.4105067189791564,0.9335536472208436,2.3317333214084434e-16
20230131_PBSspiked_LZD5P2_D6_70%_2,sterile,PBS control,0,0.0,D5,20230131,,419,237.4545898,300.1534424,-0.4077760257464601,0.9443959516202064,-2.9676605908834733e-16
20230209_PBSspiked_LZD6P4_D2_20%_2,sterile,PBS control,0,0.0,Unknown,20230209,,419,237.4351044,300.1477051,-0.4353886766766106,0.984330736490056,3.052450893480144e-16
20230410_PBSspiked_LZD7P6_D4_50%_3,sterile,PBS control,0,0.0,Unknown,20230410,,419,237.4662628,300.1254272,-0.4307964123757356,0.9794457775909312,2.289338170110108e-16
20230321_PBSspiked_LZD7P4_D2_30%_3,sterile,PBS control,0,0.0,Unknown,20230321,,419,237.4410706,300.1396484,-0.4298788282249797,0.9407983000750202,3.942749070745186e-16
20230214_PBSspiked_LZD8P6_D2_20%,sterile,PBS control,0,0.0,Unknown,20230214,,419,237.4571838,300.1626587,-0.4228738835144797,0.9462357425188536,-7.885498141490372e-16
20230217_PBSspiked_LZD10P6_D5_50%_2,sterile,PBS control,0,0.0,D5,20230217,,419,237.4504242,300.1421814,-0.4366005548995232,1.0110088001338102,-5.00262785320357e-16
20230411_PBSspiked_LZD1P4_D5_50%,sterile,PBS control,0,0.0,D5,20230411,,419,237.43573,300.1345825,-0.433098319129355,0.990814454403978,5.765740576573606e-16
20230131_PBSspiked_LZD5P2_D5_50%,sterile,PBS control,0,0.0,D5,20230131,,419,237.4545898,300.1534424,-0.4220995262977727,0.9744070018022274,-2.289338170110108e-16
20230214_PBSspiked_LZD9P2_D5_50%_1,sterile,PBS control,0,0.0,D5,20230214,,419,237.4571838,300.1626587,-0.3901130360945111,0.8732284104388224,-3.1372411960768147e-16
20230131_PBSspiked_LZD5P2_D2_20%_3,sterile,PBS control,0,0.0,D5,20230131,,419,237.4545898,300.1534424,-0.4392460056401751,1.0191819601931582,-1.27185453895006e-16
20230221_PBSspiked_LZD1P2_D6_60%,sterile,PBS control,0,0.0,Unknown,20230221,,419,237.4582214,300.163208,-0.4345028697073192,0.9451347491260144,-1.5686205980384074e-16
20230223_PBSspiked_LZD7P2_D5_50%_2,sterile,PBS control,0,0.0,D5,20230223,,419,237.438385,300.1438599,-0.4308884448071596,0.9826903635261734,3.052450893480144e-16
20230208_PBSspiked_LZD5P4_D6_70%,sterile,PBS control,0,0.0,D5,20230208,,419,237.4533997,300.1588745,-0.3906132480201271,0.8717031974465397,1.4838302954417367e-16
20230321_PBSspiked_LZD7P4_D3_40%_1,sterile,PBS control,0,0.0,Unknown,20230321,,419,237.4410706,300.1396484,-0.4269282090630071,0.922992312070326,6.783224207733654e-17
20230216_PBSspiked_LZD10P2_D7_80%_1,sterile,PBS control,0,0.0,Unknown,20230216,,419,237.436676,300.1416626,-0.4207596606637231,0.9344841813029434,-1.6958060519334134e-17
20230213_PBSspiked_LZD8P4_D2_20%_2,sterile,PBS control,0,0.0,Unknown,20230213,,419,237.4573364,300.1625671,-0.4368448454175015,0.976163874149165,4.069934524640192e-16
20230214_PBSspiked_LZD8P6_D7_70%_1,sterile,PBS control,0,0.0,Unknown,20230214,,419,237.4571838,300.1626587,-0.414539857475655,0.9324937275910116,1.280333569209727e-15
20230221_PBSspiked_LZD1P2_D2_20%_1,sterile,PBS control,0,0.0,Unknown,20230221,,419,237.4582214,300.163208,-0.4334052445499605,0.9600043054500396,-3.688378162955174e-16
20230223_PBSspiked_LZD7P2_D2_20%_1,sterile,PBS control,0,0.0,Unknown,20230223,,419,237.438385,300.1438599,-0.4305310106042167,0.9685530756291169,-3.900353919446851e-16
20230214_PBSspiked_LZD9P2_D7_80%_1,sterile,PBS control,0,0.0,Unknown,20230214,,419,237.4571838,300.1626587,-0.4070042373244235,0.90890640460891,-1.780596354530084e-16
20230223_PBSspiked_LZD7P2_D6_70%_2,sterile,PBS control,0,0.0,Unknown,20230223,,419,237.438385,300.1438599,-0.430636525851551,0.9733032229151156,3.561192709060168e-16
20230208_PBSspiked_LZD5P4_D7_80%,sterile,PBS control,0,0.0,D5,20230208,,419,237.4533997,300.1588745,-0.423589739241766,0.9550864271249008,5.935321181766947e-17
20230131_PBSspiked_LZD5P4_D2_20%,sterile,PBS control,0,0.0,D5,20230131,,419,237.4545898,300.1534424,-0.4432185924002383,1.023967188133095,3.306821801270156e-16
20230208_PBSspiked_LZD5P4_D7_80%_3,sterile,PBS control,0,0.0,D5,20230208,,419,237.4533997,300.1588745,-0.4250557444656324,0.9760068285343676,2.54370907790012e-17
20230216_PBSspiked_LZD10P4_D6_60%_3,sterile,PBS control,0,0.0,Unknown,20230216,,419,237.436676,300.1416626,-0.4235020934826575,0.9392005543506758,-3.985144222043521e-16
20230321_PBSspiked_LZD7P4_D7_90%,sterile,PBS control,0,0.0,Unknown,20230321,,419,237.4410706,300.1396484,-0.4226135076781222,0.9290760051218778,3.306821801270156e-16
20230131_PBSspiked_LZD5P4_D4_40%,sterile,PBS control,0,0.0,D5,20230131,,419,237.4545898,300.1534424,-0.4395255695393001,0.9884755956940332,-2.2045478675134372e-16
20230214_PBSspiked_LZD8P6_D6_60%,sterile,PBS control,0,0.0,Unknown,20230214,,419,237.4571838,300.1626587,-0.4176935107635637,0.9419637120697696,2.670894531795126e-16
20230210_PBSspiked_LZD6P6_D6_70%_3,sterile,PBS control,0,0.0,Unknown,20230210,,419,237.439743,300.1523438,-0.3958498809732693,0.9050013698267304,3.0100557421818085e-16
20230213_PBSspiked_LZD8P2_D2_10%_3,sterile,PBS control,0,0.0,Unknown,20230213,,419,237.4573364,300.1625671,-0.4371014511708834,0.9808214081291166,-2.7132896830934615e-16
20230209_PBSspiked_LZD6P4_D2_20%_1,sterile,PBS control,0,0.0,Unknown,20230209,,419,237.4351044,300.1477051,-0.4327489669603817,0.9689991835062848,1.399039992845066e-16
20230208_PBSspiked_LZD5P6_D2_20%_2,sterile,PBS control,0,0.0,D5,20230208,,419,237.4533997,300.1588745,-0.4306491962643594,0.9688702271356404,1.5686205980384074e-16
20230209_PBSspiked_LZD6P2_D2_10%_1,sterile,PBS control,0,0.0,Unknown,20230209,,419,237.4351044,300.1477051,-0.431354518938027,0.9697623983286396,7.63112723370036e-17
20230208_PBSspiked_LZD5P2_D7_80%,sterile,PBS control,0,0.0,D5,20230208,,419,237.4533997,300.1588745,-0.414367172111694,0.9425359338216392,4.4090957350268745e-16
20230217_PBSspiked_LZD10P6_D7_70%,sterile,PBS control,0,0.0,Unknown,20230217,,419,237.4504242,300.1421814,-0.4322664640030229,0.9846541829636436,1.0598787824583833e-16
20230215_PBSspiked_LZD9P6_D6_70%_3,sterile,PBS control,0,0.0,Unknown,20230215,,419,237.4571838,300.1626587,-0.4171767976854417,0.9232613648478916,-2.162152716215102e-16
20230208_PBSspiked_LZD5P6_D3_30%_2,sterile,PBS control,0,0.0,D5,20230208,,419,237.4533997,300.1588745,-0.4352449549431982,0.9809922703901351,-2.3317333214084434e-16
20230411_PBSspiked_LZD1P4_D6_70%_1,sterile,PBS control,0,0.0,Unknown,20230411,,419,237.4364624,300.1353149,-0.4345709606255369,0.9918544462411298,1.399039992845066e-16
20230215_PBSspiked_LZD9P4_D5_50%_1,sterile,PBS control,0,0.0,D5,20230215,,419,237.4571838,300.1626587,-0.4125487418076368,0.9151602675590298,4.324305432430204e-16
20230214_PBSspiked_LZD8P6_D4_40%_2,sterile,PBS control,0,0.0,Unknown,20230214,,419,237.4571838,300.1626587,-0.432976221045743,0.9787312694542568,7.291966023313677e-16
20230321_PBSspiked_LZD7P4_D6_80%,sterile,PBS control,0,0.0,Unknown,20230321,,419,237.4410706,300.1396484,-0.4246022313291167,0.9182073068708833,2.7132896830934615e-16
20230214_PBSspiked_LZD9P2_D4_40%_1,sterile,PBS control,0,0.0,Unknown,20230214,,419,237.4571838,300.1626587,-0.4124707601325376,0.925395868934129,2.034967262320096e-16
20230417_PBSspiked_LZD1P6_D6_80%_1,sterile,PBS control,0,0.0,Unknown,20230417,,419,237.4287262,300.1347351,-0.4230089086328562,0.9735961558338104,-2.1197575649167665e-16
20230410_PBSspiked_LZD7P6_D5_60%,sterile,PBS control,0,0.0,D5,20230410,,419,237.4662628,300.1254272,-0.4316497931320602,0.9644809623679396,2.882870288286803e-16
20230131_PBSspiked_LZD5P2_D5_50%_3,sterile,PBS control,0,0.0,D5,20230131,,419,237.4545898,300.1534424,-0.4237280471530625,0.9876892283802708,3.3916121038668266e-16
20230209_PBSspiked_LZD6P2_D7_90%_3,sterile,PBS control,0,0.0,Unknown,20230209,,419,237.4351044,300.1477051,-0.3731567093910902,0.8592526733089098,-3.17963634737515e-16
20230209_PBSspiked_LZD6P2_D4_40%_2,sterile,PBS control,0,0.0,Unknown,20230209,,419,237.4351044,300.1477051,-0.4272339179871123,0.970239894012888,-1.1022739337567186e-16
20230209_PBSspiked_LZD6P4_D7_90%_1,sterile,PBS control,0,0.0,Unknown,20230209,,419,237.4351044,300.1477051,-0.3865304204792364,0.8690790026540967,-2.225745443162605e-16
20230208_PBSspiked_LZD5P6_D4_40%_2,sterile,PBS control,0,0.0,D5,20230208,,419,237.4533997,300.1588745,-0.4324550789275253,0.9793107500391416,5.553764820081929e-16
20230221_PBSspiked_LZD1P2_D7_70%_3,sterile,PBS control,0,0.0,Unknown,20230221,,419,237.4582214,300.163208,-0.4321332588951471,0.9687476244048532,8.90298177265042e-17
20230215_PBSspiked_LZD9P4_D2_20%,sterile,PBS control,0,0.0,Unknown,20230215,,419,237.4571838,300.1626587,-0.4295681221689738,0.9521923804976928,2.7556848343917966e-17
20230410_PBSspiked_LZD7P6_D4_50%,sterile,PBS control,0,0.0,Unknown,20230410,,419,237.4662628,300.1254272,-0.430926093036834,0.9697985466631658,-3.434007255165162e-16
20230210_PBSspiked_LZD6P6_D3_30%_1,sterile,PBS control,0,0.0,Unknown,20230210,,419,237.439743,300.1523438,-0.4294064688788387,0.9699047655544945,-2.5861042291984553e-16
20230213_PBSspiked_LZD8P2_D3_20%_1,sterile,PBS control,0,0.0,Unknown,20230213,,419,237.4573364,300.1625671,-0.4328871728922037,0.9575592466411296,-3.391612103866827e-17
20230216_PBSspiked_LZD10P4_D6_60%_1,sterile,PBS control,0,0.0,Unknown,20230216,,419,237.436676,300.1416626,-0.4182852852264124,0.9168335151735876,-3.264426649971821e-16
20230208_PBSspiked_LZD5P4_D4_40%_1,sterile,PBS control,0,0.0,D5,20230208,,419,237.4533997,300.1588745,-0.4343380848306286,0.9971950830027044,-1.1870642363533893e-16
20230417_PBSspiked_LZD1P6_D5_60%_3,sterile,PBS control,0,0.0,D5,20230417,,419,237.4287262,300.1347351,-0.4304003615583132,0.9900334226416868,2.670894531795126e-16
20230217_PBSspiked_LZD10P6_D2_20%_3,sterile,PBS control,0,0.0,Unknown,20230217,,419,237.4504242,300.1421814,-0.4261655101723145,0.9715906391943522,5.426579366186923e-16
20230221_PBSspiked_LZD1P2_D4_40%_1,sterile,PBS control,0,0.0,Unknown,20230221,,419,237.4582214,300.163208,-0.4340446194474942,0.9591804193191724,-7.207175720717007e-17
20230417_PBSspiked_LZD1P6_D4_50%_3,sterile,PBS control,0,0.0,Unknown,20230417,,419,237.4287262,300.1347351,-0.4326182983145582,0.9870708551521086,3.052450893480144e-16
20230214_PBSspiked_LZD8P6_D5_50%_3,sterile,PBS control,0,0.0,D5,20230214,,419,237.4571838,300.1626587,-0.418950164198886,0.9401263607344476,2.798079985690132e-16
20230214_PBSspiked_LZD9P2_D2_10%_3,sterile,PBS control,0,0.0,Unknown,20230214,,419,237.4571838,300.1626587,-0.4314470136225932,0.9670438669440732,2.2469430188117725e-16
20230210_PBSspiked_LZD6P6_D3_30%_3,sterile,PBS control,0,0.0,Unknown,20230210,,419,237.439743,300.1523438,-0.4358501415070806,0.9832094828929192,-2.2045478675134372e-16
20230210_PBSspiked_LZD6P6_D7_90%_2,sterile,PBS control,0,0.0,Unknown,20230210,,419,237.439743,300.1523438,-0.4326169373645985,0.9781043249020682,-2.034967262320096e-16
20230131_PBSspiked_LZD5P4_D3_30%_3,sterile,PBS control,0,0.0,D5,20230131,,419,237.4545898,300.1534424,-0.4482329252860773,1.0207607582139224,6.740829056435318e-16
20230214_PBSspiked_LZD8P6_D3_30%_3,sterile,PBS control,0,0.0,Unknown,20230214,,419,237.4571838,300.1626587,-0.4328651854169448,0.9707207597163884,2.416523624005114e-16
20230216_PBSspiked_LZD10P2_D3_20%_1,sterile,PBS control,0,0.0,Unknown,20230216,,419,237.436676,300.1416626,-0.419294516167383,0.9340200624326168,-3.052450893480144e-16
20230213_PBSspiked_LZD8P4_D4_40%_2,sterile,PBS control,0,0.0,Unknown,20230213,,419,237.4573364,300.1625671,-0.4310074250252986,0.9675963916747012,-3.0948460447784795e-16
20230131_PBSspiked_LZD5P2_D2_20%,sterile,PBS control,0,0.0,D5,20230131,,419,237.4545898,300.1534424,-0.4373061563549723,1.0050559733783608,-1.4414351441434014e-16
20230210_PBSspiked_LZD6P6_D7_90%_1,sterile,PBS control,0,0.0,Unknown,20230210,,419,237.439743,300.1523438,-0.4319686426550517,0.9703180060116148,-1.6958060519334134e-17
20230213_PBSspiked_LZD8P4_D3_30%_1,sterile,PBS control,0,0.0,Unknown,20230213,,419,237.4573364,300.1625671,-0.435359919474065,0.9671183134926016,1.27185453895006e-16
20230215_PBSspiked_LZD9P4_D7_70%,sterile,PBS control,0,0.0,Unknown,20230215,,419,237.4571838,300.1626587,-0.3960959110974538,0.8709604197025465,4.260712705482701e-16
20230209_PBSspiked_LZD6P4_D7_90%_2,sterile,PBS control,0,0.0,Unknown,20230209,,419,237.4351044,300.1477051,-0.3834003288184561,0.8678757121482105,5.129813307098575e-16
20230208_PBSspiked_LZD5P6_D3_30%_1,sterile,PBS control,0,0.0,D5,20230208,,419,237.4533997,300.1588745,-0.4325526863127287,0.9674991755872712,0.0
20230208_PBSspiked_LZD5P4_D5_50%_1,sterile,PBS control,0,0.0,D5,20230208,,419,237.4533997,300.1588745,-0.4213848218417662,0.9451665478249008,1.6958060519334134e-17
20230210_PBSspiked_LZD6P6_D2_20%_3,sterile,PBS control,0,0.0,Unknown,20230210,,419,237.439743,300.1523438,-0.441711756101512,0.9918222901318212,-4.281910281131869e-16
20230321_PBSspiked_LZD7P4_D5_60%_2,sterile,PBS control,0,0.0,D5,20230321,,419,237.4410706,300.1396484,-0.4256119251948294,0.9248735140718376,-4.53628118892188e-16
20230221_PBSspiked_LZD1P2_D2_20%_2,sterile,PBS control,0,0.0,Unknown,20230221,,419,237.4582214,300.163208,-0.4377359001223544,0.9672065626443124,3.7307733142535094e-16
20230417_PBSspiked_LZD1P6_D7_90%_1,sterile,PBS control,0,0.0,Unknown,20230417,,419,237.4287262,300.1347351,-0.4267446319537786,0.9801397801462216,2.1197575649167665e-16
20230215_PBSspiked_LZD9P4_D4_40%_2,sterile,PBS control,0,0.0,Unknown,20230215,,419,237.4571838,300.1626587,-0.4273130806495618,0.9561790659837712,6.274482392153629e-16
20230214_PBSspiked_LZD8P6_D6_60%_1,sterile,PBS control,0,0.0,Unknown,20230214,,419,237.4571838,300.1626587,-0.4204824621686555,0.9467521899980113,8.479030259667066e-17
20230215_PBSspiked_LZD9P4_D2_20%_1,sterile,PBS control,0,0.0,Unknown,20230215,,419,237.4571838,300.1626587,-0.428766981497374,0.9478626296359592,6.126099362609456e-16
20230215_PBSspiked_LZD9P4_D7_70%_1,sterile,PBS control,0,0.0,Unknown,20230215,,419,237.4571838,300.1626587,-0.393170303446141,0.8697303172871923,6.3592726947503e-16
20230216_PBSspiked_LZD10P2_D6_60%,sterile,PBS control,0,0.0,Unknown,20230216,,419,237.436676,300.1416626,-0.4252200424943514,0.9342059444389822,1.8653866571267547e-16
20230208_PBSspiked_LZD5P2_D7_80%_2,sterile,PBS control,0,0.0,D5,20230208,,419,237.4533997,300.1588745,-0.4147283255391405,0.9386527020941928,3.306821801270156e-16
20230321_PBSspiked_LZD7P4_D4_50%,sterile,PBS control,0,0.0,Unknown,20230321,,419,237.4410706,300.1396484,-0.4281119621247419,0.929390567575258,-4.748256945413557e-16
20230208_PBSspiked_LZD5P4_D5_50%,sterile,PBS control,0,0.0,D5,20230208,,419,237.4533997,300.1588745,-0.4202637876479717,0.9460122678853616,-3.4764024064634975e-16
20230209_PBSspiked_LZD6P2_D3_20%_1,sterile,PBS control,0,0.0,Unknown,20230209,,419,237.4351044,300.1477051,-0.4305726541914086,0.9690453405419244,-5.172208458396911e-16
20230213_PBSspiked_LZD8P4_D3_30%_3,sterile,PBS control,0,0.0,Unknown,20230213,,419,237.4573364,300.1625671,-0.4354381595401752,0.9760007872264916,-2.1197575649167665e-16
20230131_PBSspiked_LZD5P4_D3_30%_1,sterile,PBS control,0,0.0,D5,20230131,,419,237.4545898,300.1534424,-0.443294712041528,1.0108106005251387,-5.426579366186923e-16
20230223_PBSspiked_LZD7P2_D5_50%,sterile,PBS control,0,0.0,D5,20230223,,419,237.438385,300.1438599,-0.4310373644625305,0.974799436304136,-6.571248451241977e-16
20230210_PBSspiked_LZD6P6_D4_40%_2,sterile,PBS control,0,0.0,Unknown,20230210,,419,237.439743,300.1523438,-0.434314343709149,0.981618664024184,-2.882870288286803e-16
20230411_PBSspiked_LZD1P4_D5_50%_3,sterile,PBS control,0,0.0,D5,20230411,,419,237.4364624,300.1353149,-0.4348458664023864,1.0046869597976136,1.8653866571267547e-16
20230131_PBSspiked_LZD5P2_D3_30%_2,sterile,PBS control,0,0.0,D5,20230131,,419,237.4545898,300.1534424,-0.4420363898972161,1.016571511936117,-5.638555122678599e-16
20230321_PBSspiked_LZD7P4_D2_30%,sterile,PBS control,0,0.0,Unknown,20230321,,419,237.4410706,300.1396484,-0.4253538352846465,0.9282955227486868,-5.744543000924438e-16
20230411_PBSspiked_LZD1P4_D3_30%_2,sterile,PBS control,0,0.0,Unknown,20230411,,419,237.43573,300.1345825,-0.4333138544555293,0.9839957627111372,-2.798079985690132e-16
20230208_PBSspiked_LZD5P6_D7_70%_3,sterile,PBS control,0,0.0,D5,20230208,,419,237.4533997,300.1588745,-0.4197743738365155,0.9490762296968178,0.0
20230208_PBSspiked_LZD5P6_D2_20%,sterile,PBS control,0,0.0,D5,20230208,,419,237.4533997,300.1588745,-0.425719169550199,0.9713623943498012,-2.0561648379692637e-16
20230208_PBSspiked_LZD5P6_D6_60%_3,sterile,PBS control,0,0.0,D5,20230208,,419,237.4533997,300.1588745,-0.4140109221623707,0.9464223037709628,5.511369668783593e-17
20230209_PBSspiked_LZD6P4_D4_50%_1,sterile,PBS control,0,0.0,Unknown,20230209,,419,237.4351044,300.1477051,-0.4234641616020678,0.9584848558979322,5.808135727871941e-16
20230214_PBSspiked_LZD9P2_D4_40%_3,sterile,PBS control,0,0.0,Unknown,20230214,,419,237.4571838,300.1626587,-0.4180764278241047,0.9464845188425622,3.3916121038668266e-16
20230410_PBSspiked_LZD7P6_D3_40%,sterile,PBS control,0,0.0,Unknown,20230410,,419,237.4662628,300.1254272,-0.4331334481711216,0.9660919209955452,1.144669085055054e-16
20230223_PBSspiked_LZD7P2_D6_70%_1,sterile,PBS control,0,0.0,Unknown,20230223,,419,237.438385,300.1438599,-0.4276712483075574,0.9633283565591092,2.54370907790012e-16
20230209_PBSspiked_LZD6P2_D5_50%,sterile,PBS control,0,0.0,D5,20230209,,419,237.4351044,300.1477051,-0.4226702923805089,0.9506911213528242,2.1197575649167665e-16
20230131_PBSspiked_LZD5P4_D3_30%,sterile,PBS control,0,0.0,D5,20230131,,419,237.4545898,300.1534424,-0.4416973519895785,0.9968476614770884,-8.479030259667066e-17
20230223_PBSspiked_LZD7P2_D4_40%,sterile,PBS control,0,0.0,Unknown,20230223,,419,237.438385,300.1438599,-0.4334986052257752,0.9763397482408914,4.324305432430204e-16
20230223_PBSspiked_LZD7P2_D7_80%,sterile,PBS control,0,0.0,Unknown,20230223,,419,237.438385,300.1438599,-0.4261202270644392,0.9695607070688942,-6.3592726947503e-17
20230215_PBSspiked_LZD9P6_D3_30%_3,sterile,PBS control,0,0.0,Unknown,20230215,,419,237.4571838,300.1626587,-0.4044454904133652,0.9036293213866348,-5.08741815580024e-17
20230213_PBSspiked_LZD8P2_D6_60%_2,sterile,PBS control,0,0.0,Unknown,20230213,,419,237.4573364,300.1625671,-0.4176234145222748,0.9449595920110586,4.4090957350268745e-16
