Results using the first calibration curve,,,,,,,,,,,,,,
No. ,Injection Name,Amount ,Amount ,Amount ,Amount ,Amount ,Amount ,Amount ,Amount ,Area ,Area ,Area ,Area ,Area 
14,"STD 1.25 g/L ethanol, 0.625 g/Lglycerol",n.a.,n.a.,n.a.,1.208610769,n.a.,n.a.,n.a.,0.6243047363,n.a.,n.a.,n.a.,n.a.,2.853989995
15,"STD 0.625 g/L ethanol, 0.3125 g/Lglycerol",n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,0.2772084236,n.a.,n.a.,n.a.,n.a.,n.a.
16,"STD 0.3125 g/L ethanol, 0.156 g/Lglycerol",n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
181,Xylose check 2 g/L,n.a.,1.976096044,n.a.,0.05797554231,n.a.,n.a.,n.a.,0.01264117816,0.0127499514,7.804474603,n.a.,n.a.,0.4973606432
182,CEC_04_S1_YPD_24 h_10x,n.a.,2.720042024,n.a.,7.576712879,0.2972082684,n.a.,2.646184378,16.15414216,0.01821642283,0.4122168303,0.201323846,0.02057695117,1.930415615
183,CEC_04_S2.1_T0_10x,29.42180002,16.98145638,n.a.,0.279188999,1.671173998,n.a.,7.144363469,2.624753605,14.13239958,6.598740854,0.8759419854,0.2199535438,0.4358012853
186,CEC_04_S2.2_T0_10x,29.54602157,17.03466235,n.a.,0.3368033084,1.710709779,n.a.,7.1891853,2.746593117,14.19164074,6.621821311,0.8953540819,0.2300975873,0.4476013388
187,CEC_04_S2_24 h_10x,0.2499112874,8.253388521,n.a.,9.113298059,1.635924881,n.a.,4.844619766,3.642551917,0.220347435,2.812552461,0.8586346442,0.2124693864,2.245125408
188,CEC_A10_24 h_10x,55.32966576,37.3266578,n.a.,n.a.,2.89241947,n.a.,13.22582875,0.8427425308,26.48784157,15.42437863,1.475574371,0.7494149574,n.a.
189,CEC_A10_48 h_10x,57.28906723,36.24254979,n.a.,n.a.,2.630373809,n.a.,11.82197443,0.621423242,27.42227868,14.95409847,1.346909767,0.6954862983,n.a.
190,CEC_A10_72 h_10x,59.57249608,35.8012882,n.a.,n.a.,2.482728428,n.a.,12.53152354,0.7666815446,28.5112442,14.76268159,1.274415781,0.7050376553,0.06723757074
191,CEC_A10_after harvest_10x,57.74807218,34.60959814,n.a.,n.a.,2.939774538,n.a.,12.85802566,0.821125225,27.6411778,14.24573292,1.498825743,0.6852475384,0.1602010219
192,Xylose check 2 g/L,n.a.,2.001238213,n.a.,n.a.,n.a.,n.a.,n.a.,0.002419084086,0.07153258524,7.913539965,n.a.,n.a.,0.1652742065
193,CEC_04_F1_T0_10x,42.02880057,22.36004113,n.a.,0.1490016727,3.462989999,n.a.,11.38461126,0.9721154252,20.14466881,8.93194168,1.755724902,0.4323316362,0.409137468
194,CEC_04_F1_5 h_10x,39.10242998,21.96648908,n.a.,0.8263518856,3.440513946,n.a.,11.46585107,1.170347405,18.74908484,8.761220939,1.744689144,0.4194604802,0.5478663507
195,CEC_04_F1_22 h_10x,5.072901458,19.72890852,n.a.,16.19335591,3.461188917,n.a.,10.84301726,5.078087042,2.520427877,7.790570656,1.754840569,0.4057237719,3.695200269
196,CEC_04_F1_27 h_10x,1.768876986,15.91057991,n.a.,19.14241703,3.565185401,n.a.,11.11976731,5.63645448,0.9447410523,6.134200463,1.805902916,0.4196854038,4.299200896
197,CEC_04_F1_50 h_10x,0.2143235012,11.05534692,n.a.,20.82193421,3.541550174,n.a.,11.11995125,5.741107869,0.2033756461,4.028026782,1.794298003,0.4151463728,4.643184756
198,CEC_04_F2_T0_10x,41.27533035,21.99392338,n.a.,0.002626100472,3.300690372,n.a.,11.17157366,0.9229683227,19.78533941,8.773121791,1.676035671,0.4101269979,0.3791581173
199,CEC_04_F2_5 h_10x,37.89798294,21.53295324,n.a.,1.140499269,3.329781905,n.a.,11.00543237,1.142274679,18.17468494,8.57315545,1.690319634,0.4145189983,0.6122072407
200,CEC_04_F2_22 h_10x,6.866956366,19.69897535,n.a.,14.84738594,3.335691254,n.a.,10.72066649,4.63271287,3.376011334,7.777585811,1.693221129,0.3884478902,3.419530596
201,CEC_04_F2_27 h_10x,3.643432768,16.55084285,n.a.,18.04709329,3.444252588,n.a.,10.90288881,5.210382484,1.838715317,6.411943045,1.74652482,0.4047197886,4.07486637
202,CEC_04_F2_50 h_10x,0.1907292708,11.79770104,n.a.,20.995725,3.525225177,n.a.,11.17231021,5.538109013,0.1921235751,4.350055965,1.786282418,0.4158766703,4.67877905
203,Xylose check 2 g/L,n.a.,1.995807596,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,0.06578181292,7.889982244,n.a.,n.a.,0.1590408295
204,CEC_04_A5_T0_10x,40.36456188,21.62049886,n.a.,0.1250243073,3.325504358,n.a.,11.2250898,0.9845045219,19.35099461,8.611132264,1.688219356,0.4215748817,0.404226636
205,CEC_04_A5_5 h_10x,36.24852917,21.12223839,n.a.,1.495993416,3.253428271,n.a.,11.14447344,1.282276951,17.38806165,8.394989579,1.652829946,0.3906738154,0.6850164092
206,CEC_04_A5_22 h_10x,0.3255972027,12.46894745,n.a.,19.59778166,3.472953874,n.a.,10.8012173,5.705740443,0.256441992,4.64123901,1.760617172,0.4111805809,4.392464653
207,CEC_04_A5_27 h_10x,0.1867658299,11.01064099,n.a.,19.78948726,3.334793948,n.a.,10.64690347,5.575343186,0.1902334131,4.008633595,1.692780551,0.3892401664,4.431728099
208,CEC_04_A5_50 h_10x,0.1463201202,8.295931383,n.a.,20.76647084,3.42038941,n.a.,10.68835873,5.736103875,0.1709448841,2.831007324,1.734807983,0.4015763462,4.63182524
209,CEC_04_A6_T0_10x,39.91547336,21.40854155,n.a.,0.4711824242,3.198412585,n.a.,10.86639131,0.9284728542,19.13682462,8.519186333,1.625817206,0.4214838501,0.4751236814
210,CEC_04_A6_5 h_10x,36.64957532,21.44431255,n.a.,1.435121943,3.344078526,n.a.,11.04300886,1.303562039,17.57932026,8.534703597,1.697339285,0.4130713087,0.6725492521
211,CEC_04_A6_22 h_10x,0.3561070639,12.45310449,n.a.,19.28200665,3.417645532,n.a.,10.70157365,5.576616385,0.2709921222,4.634366421,1.733460737,0.398076038,4.327790407
212,CEC_04_A6_27 h_10x,0.2050650671,11.25439385,n.a.,19.86020065,3.435331493,n.a.,10.79192527,5.777571586,0.1989603057,4.11437226,1.742144556,0.4083566842,4.446210992
213,CEC_04_A6_50 h_10x,0.1531709211,8.403759751,n.a.,20.24628367,3.398530024,n.a.,10.67550895,5.727364194,0.1742120259,2.877782683,1.724075009,0.4069560079,4.525285103
214,Xylose check 2 g/L,n.a.,19.89611222,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,0.05883013265,7.863102713,n.a.,n.a.,0.1679160641
225,Glucose check 1 g/L,1.01994656,n.a.,n.a.,n.a.,n.a.,n.a.,0.3645049987,n.a.,4.965282519,n.a.,n.a.,n.a.,n.a.
226,Xylose check 2 g/L,n.a.,1.967349094,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,0.01465526716,7.766530813,n.a.,n.a.,0.1165286331
227,CEC_04_F1_74 h_10x,0.0886426617,9.194944983,n.a.,21.51334986,3.420680328,n.a.,11.00166666,5.540021313,0.1434385468,3.220994536,1.734950824,0.4018569594,4.784794399
228,CEC_04_F2_74 h_10x,0.1211153759,9.946539608,n.a.,21.58828477,3.469757591,n.a.,11.21684903,5.443641159,0.1589247602,3.547032199,1.759047794,0.4121214665,4.800141904
229,CEC_04_A5_74 h_10x,0.1237431144,6.182220631,n.a.,21.74983322,3.23818568,n.a.,10.37456758,5.452747385,0.1601779267,1.91409109,1.645345824,0.3763300218,4.83322883
230,CEC_04_A6_74 h_10x,0.163124155,6.420592258,n.a.,21.77744223,3.340008308,n.a.,10.67208482,5.636633547,0.1789587158,2.017495405,1.695340805,0.40839722,4.838883463
231,CEC_04_F1_96 h_10x,0.1579748441,8.522503385,n.a.,22.19403388,3.459746975,n.a.,11.05074047,5.650538437,0.1765030133,2.929293026,1.754132575,0.4174362393,4.924206083
232,CEC_04_F2_96 h_10x,0.1545421067,9.104806946,n.a.,21.89740404,3.35930781,n.a.,10.85869029,5.30096877,0.1748659433,3.181893146,1.704816874,0.3891444307,4.86345298
233,CEC_04_A5_96 h_10x,0.1710195155,4.964160254,n.a.,22.42000999,3.269770789,n.a.,10.53477929,5.639165777,0.1827240074,1.385703119,1.660854134,0.3792841856,4.970488512
234,CEC_04_A6_96 h_10x,0.1636776482,5.195273035,n.a.,22.52074907,3.340285608,n.a.,10.81248389,5.829065129,0.1792226763,1.485958588,1.69547696,0.4158797321,4.991121
